Title,Start,End,Duration,Image,
In Nest,2012-10-26 23:00:34,2012-10-26 23:02:12,0:1:98,http://punkoryan.com/phidgetSBC2/2012-10-26-23-00-34.jpg,
Out Nest,2012-10-26 23:01:32,2012-10-26 23:32:32,0:31:1860,http://punkoryan.com/phidgetSBC2/2012-10-26-23-01-32.jpg,
In Nest,2012-10-26 23:31:43,2012-10-26 23:33:45,0:2:122,http://punkoryan.com/phidgetSBC2/2012-10-26-23-31-43.jpg,
Out Nest,2012-10-26 23:33:03,2012-10-26 23:35:00,0:1:117,http://punkoryan.com/phidgetSBC2/2012-10-26-23-33-03.jpg,
In Nest,2012-10-26 23:34:10,2012-10-26 23:35:47,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-26-23-34-10.jpg,
Out Nest,2012-10-26 23:35:06,2012-10-27 13:37:15,14:842:50529,http://punkoryan.com/phidgetSBC2/2012-10-26-23-35-06.jpg,
In Nest,2012-10-27 13:36:28,2012-10-27 13:38:01,0:1:93,http://punkoryan.com/phidgetSBC2/2012-10-27-13-36-28.jpg,
Out Nest,2012-10-27 13:37:21,2012-10-27 17:38:22,4:241:14461,http://punkoryan.com/phidgetSBC2/2012-10-27-13-37-21.jpg,
In Nest,2012-10-27 17:37:33,2012-10-27 17:39:09,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-27-17-37-33.jpg,
Out Nest,2012-10-27 17:38:28,2012-10-29 00:21:23,30:1842:110575,http://punkoryan.com/phidgetSBC2/2012-10-27-17-38-28.jpg,
In Nest,2012-10-29 00:20:34,2012-10-29 00:22:11,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-29-00-20-34.jpg,
Out Nest,2012-10-29 00:21:30,2012-10-29 05:32:53,5:311:18683,http://punkoryan.com/phidgetSBC2/2012-10-29-00-21-30.jpg,
In Nest,2012-10-29 05:32:04,2012-10-29 05:33:58,0:1:114,http://punkoryan.com/phidgetSBC2/2012-10-29-05-32-04.jpg,
Out Nest,2012-10-29 05:33:17,2012-10-29 05:34:54,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-29-05-33-17.jpg,
In Nest,2012-10-29 05:34:05,2012-10-29 05:35:41,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-29-05-34-05.jpg,
Out Nest,2012-10-29 05:35:00,2012-10-29 16:19:13,10:644:38653,http://punkoryan.com/phidgetSBC2/2012-10-29-05-35-00.jpg,
In Nest,2012-10-29 16:18:24,2012-10-29 16:20:00,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-29-16-18-24.jpg,
Out Nest,2012-10-29 16:19:19,2012-10-29 18:46:32,2:147:8833,http://punkoryan.com/phidgetSBC2/2012-10-29-16-19-19.jpg,
In Nest,2012-10-29 18:45:43,2012-10-29 18:47:20,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-29-18-45-43.jpg,
Out Nest,2012-10-29 18:46:39,2012-10-29 19:51:35,1:64:3896,http://punkoryan.com/phidgetSBC2/2012-10-29-18-46-39.jpg,
In Nest,2012-10-29 19:50:46,2012-10-29 19:54:41,0:3:235,http://punkoryan.com/phidgetSBC2/2012-10-29-19-50-46.jpg,
Out Nest,2012-10-29 19:53:59,2012-10-29 20:11:39,0:17:1060,http://punkoryan.com/phidgetSBC2/2012-10-29-19-53-59.jpg,
In Nest,2012-10-29 20:10:22,2012-10-29 20:12:28,0:2:126,http://punkoryan.com/phidgetSBC2/2012-10-29-20-10-22.jpg,
Out Nest,2012-10-29 20:11:46,2012-10-29 23:32:05,3:200:12019,http://punkoryan.com/phidgetSBC2/2012-10-29-20-11-46.jpg,
In Nest,2012-10-29 23:31:16,2012-10-29 23:32:52,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-29-23-31-16.jpg,
Out Nest,2012-10-29 23:32:11,2012-10-30 05:06:08,5:333:20037,http://punkoryan.com/phidgetSBC2/2012-10-29-23-32-11.jpg,
In Nest,2012-10-30 05:05:19,2012-10-30 05:07:08,0:1:109,http://punkoryan.com/phidgetSBC2/2012-10-30-05-05-19.jpg,
Out Nest,2012-10-30 05:06:26,2012-10-31 00:30:03,19:1163:69817,http://punkoryan.com/phidgetSBC2/2012-10-30-05-06-26.jpg,
In Nest,2012-10-31 00:29:14,2012-10-31 00:30:49,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-31-00-29-14.jpg,
Out Nest,2012-10-31 00:30:09,2012-10-31 05:34:12,5:304:18243,http://punkoryan.com/phidgetSBC2/2012-10-31-00-30-09.jpg,
In Nest,2012-10-31 05:33:23,2012-10-31 05:36:59,0:3:216,http://punkoryan.com/phidgetSBC2/2012-10-31-05-33-23.jpg,
Out Nest,2012-10-31 05:36:18,2012-10-31 17:51:01,12:734:44083,http://punkoryan.com/phidgetSBC2/2012-10-31-05-36-18.jpg,
In Nest,2012-10-31 17:50:13,2012-10-31 17:51:48,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-31-17-50-13.jpg,
Out Nest,2012-10-31 17:51:07,2012-10-31 17:53:30,0:2:143,http://punkoryan.com/phidgetSBC2/2012-10-31-17-51-07.jpg,
In Nest,2012-10-31 17:52:44,2012-10-31 17:54:16,0:1:92,http://punkoryan.com/phidgetSBC2/2012-10-31-17-52-44.jpg,
Out Nest,2012-10-31 17:53:36,2012-10-31 18:08:21,0:14:885,http://punkoryan.com/phidgetSBC2/2012-10-31-17-53-36.jpg,
In Nest,2012-10-31 18:07:33,2012-10-31 18:09:43,0:2:130,http://punkoryan.com/phidgetSBC2/2012-10-31-18-07-33.jpg,
Out Nest,2012-10-31 18:09:03,2012-10-31 18:10:37,0:1:94,http://punkoryan.com/phidgetSBC2/2012-10-31-18-09-03.jpg,
In Nest,2012-10-31 18:09:50,2012-10-31 18:11:24,0:1:94,http://punkoryan.com/phidgetSBC2/2012-10-31-18-09-50.jpg,
Out Nest,2012-10-31 18:10:43,2012-10-31 18:12:19,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-31-18-10-43.jpg,
In Nest,2012-10-31 18:11:31,2012-10-31 18:13:06,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-31-18-11-31.jpg,
Out Nest,2012-10-31 18:12:25,2012-10-31 18:14:44,0:2:139,http://punkoryan.com/phidgetSBC2/2012-10-31-18-12-25.jpg,
In Nest,2012-10-31 18:13:55,2012-10-31 18:15:32,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-31-18-13-55.jpg,
Out Nest,2012-10-31 18:14:50,2012-10-31 18:17:34,0:2:164,http://punkoryan.com/phidgetSBC2/2012-10-31-18-14-50.jpg,
In Nest,2012-10-31 18:16:45,2012-10-31 18:37:00,0:20:1215,http://punkoryan.com/phidgetSBC2/2012-10-31-18-16-45.jpg,
Out Nest,2012-10-31 18:36:20,2012-10-31 18:37:56,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-31-18-36-20.jpg,
In Nest,2012-10-31 18:37:07,2012-10-31 18:39:07,0:2:120,http://punkoryan.com/phidgetSBC2/2012-10-31-18-37-07.jpg,
Out Nest,2012-10-31 18:38:26,2012-10-31 18:40:08,0:1:102,http://punkoryan.com/phidgetSBC2/2012-10-31-18-38-26.jpg,
In Nest,2012-10-31 18:39:20,2012-10-31 18:45:07,0:5:347,http://punkoryan.com/phidgetSBC2/2012-10-31-18-39-20.jpg,
Out Nest,2012-10-31 18:44:27,2012-10-31 18:46:27,0:2:120,http://punkoryan.com/phidgetSBC2/2012-10-31-18-44-27.jpg,
In Nest,2012-10-31 18:45:39,2012-10-31 18:53:09,0:7:450,http://punkoryan.com/phidgetSBC2/2012-10-31-18-45-39.jpg,
Out Nest,2012-10-31 18:52:29,2012-10-31 18:54:28,0:1:119,http://punkoryan.com/phidgetSBC2/2012-10-31-18-52-29.jpg,
In Nest,2012-10-31 18:53:40,2012-10-31 18:55:15,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-31-18-53-40.jpg,
Out Nest,2012-10-31 18:54:34,2012-10-31 18:58:00,0:3:206,http://punkoryan.com/phidgetSBC2/2012-10-31-18-54-34.jpg,
In Nest,2012-10-31 18:57:11,2012-10-31 19:00:17,0:3:186,http://punkoryan.com/phidgetSBC2/2012-10-31-18-57-11.jpg,
Out Nest,2012-10-31 18:59:37,2012-10-31 19:01:13,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-31-18-59-37.jpg,
In Nest,2012-10-31 19:00:24,2012-10-31 19:01:59,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-31-19-00-24.jpg,
Out Nest,2012-10-31 19:01:19,2012-10-31 19:03:01,0:1:102,http://punkoryan.com/phidgetSBC2/2012-10-31-19-01-19.jpg,
In Nest,2012-10-31 19:02:13,2012-10-31 19:03:48,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-31-19-02-13.jpg,
Out Nest,2012-10-31 19:03:07,2012-10-31 19:04:44,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-31-19-03-07.jpg,
In Nest,2012-10-31 19:03:55,2012-10-31 19:09:50,0:5:355,http://punkoryan.com/phidgetSBC2/2012-10-31-19-03-55.jpg,
Out Nest,2012-10-31 19:09:10,2012-10-31 19:10:46,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-31-19-09-10.jpg,
In Nest,2012-10-31 19:09:57,2012-10-31 19:21:27,0:11:690,http://punkoryan.com/phidgetSBC2/2012-10-31-19-09-57.jpg,
Out Nest,2012-10-31 19:20:48,2012-10-31 19:22:23,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-31-19-20-48.jpg,
In Nest,2012-10-31 19:21:35,2012-10-31 19:24:04,0:2:149,http://punkoryan.com/phidgetSBC2/2012-10-31-19-21-35.jpg,
Out Nest,2012-10-31 19:23:23,2012-10-31 19:24:57,0:1:94,http://punkoryan.com/phidgetSBC2/2012-10-31-19-23-23.jpg,
In Nest,2012-10-31 19:24:11,2012-10-31 19:26:08,0:1:117,http://punkoryan.com/phidgetSBC2/2012-10-31-19-24-11.jpg,
Out Nest,2012-10-31 19:25:27,2012-10-31 19:27:03,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-31-19-25-27.jpg,
In Nest,2012-10-31 19:26:15,2012-10-31 19:31:56,0:5:341,http://punkoryan.com/phidgetSBC2/2012-10-31-19-26-15.jpg,
Out Nest,2012-10-31 19:31:16,2012-10-31 19:33:02,0:1:106,http://punkoryan.com/phidgetSBC2/2012-10-31-19-31-16.jpg,
In Nest,2012-10-31 19:32:15,2012-10-31 19:33:47,0:1:92,http://punkoryan.com/phidgetSBC2/2012-10-31-19-32-15.jpg,
Out Nest,2012-10-31 19:33:08,2012-10-31 19:36:34,0:3:206,http://punkoryan.com/phidgetSBC2/2012-10-31-19-33-08.jpg,
In Nest,2012-10-31 19:35:48,2012-10-31 19:37:20,0:1:92,http://punkoryan.com/phidgetSBC2/2012-10-31-19-35-48.jpg,
Out Nest,2012-10-31 19:36:40,2012-10-31 19:40:52,0:4:252,http://punkoryan.com/phidgetSBC2/2012-10-31-19-36-40.jpg,
In Nest,2012-10-31 19:40:04,2012-10-31 19:41:36,0:1:92,http://punkoryan.com/phidgetSBC2/2012-10-31-19-40-04.jpg,
Out Nest,2012-10-31 19:40:58,2012-10-31 19:42:41,0:1:103,http://punkoryan.com/phidgetSBC2/2012-10-31-19-40-58.jpg,
In Nest,2012-10-31 19:41:56,2012-10-31 19:50:41,0:8:525,http://punkoryan.com/phidgetSBC2/2012-10-31-19-41-56.jpg,
Out Nest,2012-10-31 19:50:01,2012-10-31 19:57:37,0:7:456,http://punkoryan.com/phidgetSBC2/2012-10-31-19-50-01.jpg,
In Nest,2012-10-31 19:56:49,2012-10-31 20:03:25,0:6:396,http://punkoryan.com/phidgetSBC2/2012-10-31-19-56-49.jpg,
Out Nest,2012-10-31 20:02:44,2012-10-31 20:04:32,0:1:108,http://punkoryan.com/phidgetSBC2/2012-10-31-20-02-44.jpg,
In Nest,2012-10-31 20:03:44,2012-10-31 20:05:17,0:1:93,http://punkoryan.com/phidgetSBC2/2012-10-31-20-03-44.jpg,
Out Nest,2012-10-31 20:04:38,2012-10-31 20:06:30,0:1:112,http://punkoryan.com/phidgetSBC2/2012-10-31-20-04-38.jpg,
In Nest,2012-10-31 20:05:43,2012-10-31 20:07:17,0:1:94,http://punkoryan.com/phidgetSBC2/2012-10-31-20-05-43.jpg,
Out Nest,2012-10-31 20:06:36,2012-10-31 20:09:42,0:3:186,http://punkoryan.com/phidgetSBC2/2012-10-31-20-06-36.jpg,
In Nest,2012-10-31 20:08:54,2012-10-31 20:12:05,0:3:191,http://punkoryan.com/phidgetSBC2/2012-10-31-20-08-54.jpg,
Out Nest,2012-10-31 20:11:24,2012-10-31 20:13:00,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-31-20-11-24.jpg,
In Nest,2012-10-31 20:12:12,2012-10-31 20:15:03,0:2:171,http://punkoryan.com/phidgetSBC2/2012-10-31-20-12-12.jpg,
Out Nest,2012-10-31 20:14:24,2012-10-31 20:16:00,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-31-20-14-24.jpg,
In Nest,2012-10-31 20:15:11,2012-10-31 20:26:41,0:11:690,http://punkoryan.com/phidgetSBC2/2012-10-31-20-15-11.jpg,
Out Nest,2012-10-31 20:26:02,2012-10-31 20:27:36,0:1:94,http://punkoryan.com/phidgetSBC2/2012-10-31-20-26-02.jpg,
In Nest,2012-10-31 20:26:48,2012-10-31 20:28:22,0:1:94,http://punkoryan.com/phidgetSBC2/2012-10-31-20-26-48.jpg,
Out Nest,2012-10-31 20:27:42,2012-10-31 20:46:39,0:18:1137,http://punkoryan.com/phidgetSBC2/2012-10-31-20-27-42.jpg,
In Nest,2012-10-31 20:45:51,2012-10-31 20:47:24,0:1:93,http://punkoryan.com/phidgetSBC2/2012-10-31-20-45-51.jpg,
Out Nest,2012-10-31 20:46:45,2012-10-31 20:48:19,0:1:94,http://punkoryan.com/phidgetSBC2/2012-10-31-20-46-45.jpg,
In Nest,2012-10-31 20:47:31,2012-10-31 21:18:49,0:31:1878,http://punkoryan.com/phidgetSBC2/2012-10-31-20-47-31.jpg,
Out Nest,2012-10-31 21:18:08,2012-10-31 21:19:45,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-31-21-18-08.jpg,
In Nest,2012-10-31 21:18:56,2012-10-31 21:20:30,0:1:94,http://punkoryan.com/phidgetSBC2/2012-10-31-21-18-56.jpg,
Out Nest,2012-10-31 21:20:22,2012-10-31 21:20:54,0:0:32,http://punkoryan.com/phidgetSBC2/2012-10-31-21-20-22.jpg,
In Nest,2012-10-31 21:20:43,2012-10-31 21:26:24,0:5:341,http://punkoryan.com/phidgetSBC2/2012-10-31-21-20-43.jpg,
Out Nest,2012-10-31 21:25:43,2012-10-31 22:28:14,1:62:3751,http://punkoryan.com/phidgetSBC2/2012-10-31-21-25-43.jpg,
In Nest,2012-10-31 22:27:26,2012-10-31 22:29:02,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-31-22-27-26.jpg,
Out Nest,2012-10-31 22:28:21,2012-10-31 22:38:15,0:9:594,http://punkoryan.com/phidgetSBC2/2012-10-31-22-28-21.jpg,
In Nest,2012-10-31 22:37:28,2012-10-31 22:39:44,0:2:136,http://punkoryan.com/phidgetSBC2/2012-10-31-22-37-28.jpg,
Out Nest,2012-10-31 22:39:03,2012-10-31 22:41:10,0:2:127,http://punkoryan.com/phidgetSBC2/2012-10-31-22-39-03.jpg,
In Nest,2012-10-31 22:40:21,2012-10-31 22:44:32,0:4:251,http://punkoryan.com/phidgetSBC2/2012-10-31-22-40-21.jpg,
Out Nest,2012-10-31 22:43:52,2012-10-31 22:45:27,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-31-22-43-52.jpg,
In Nest,2012-10-31 22:44:39,2012-10-31 22:46:50,0:2:131,http://punkoryan.com/phidgetSBC2/2012-10-31-22-44-39.jpg,
Out Nest,2012-10-31 22:46:09,2012-10-31 22:47:52,0:1:103,http://punkoryan.com/phidgetSBC2/2012-10-31-22-46-09.jpg,
In Nest,2012-10-31 22:47:03,2012-10-31 22:49:15,0:2:132,http://punkoryan.com/phidgetSBC2/2012-10-31-22-47-03.jpg,
Out Nest,2012-10-31 22:48:34,2012-10-31 22:51:33,0:2:179,http://punkoryan.com/phidgetSBC2/2012-10-31-22-48-34.jpg,
In Nest,2012-10-31 22:50:46,2012-10-31 22:52:19,0:1:93,http://punkoryan.com/phidgetSBC2/2012-10-31-22-50-46.jpg,
Out Nest,2012-10-31 22:51:39,2012-10-31 22:53:11,0:1:92,http://punkoryan.com/phidgetSBC2/2012-10-31-22-51-39.jpg,
In Nest,2012-10-31 22:52:26,2012-10-31 22:53:57,0:1:91,http://punkoryan.com/phidgetSBC2/2012-10-31-22-52-26.jpg,
Out Nest,2012-10-31 22:53:17
