Title,Start,End,Duration,Image,
In Nest,2012-10-25 17:35:12,2012-10-25 17:38:20,0:3:188,http://punkoryan.com/phidgetSBC2/2012-10-25-17-35-12.jpg,
Out Nest,2012-10-25 17:37:39,2012-10-25 17:39:21,0:1:102,http://punkoryan.com/phidgetSBC2/2012-10-25-17-37-39.jpg,
In Nest,2012-10-25 17:38:28,2012-10-25 17:51:22,0:12:774,http://punkoryan.com/phidgetSBC2/2012-10-25-17-38-28.jpg,
Out Nest,2012-10-25 17:50:41,2012-10-25 17:52:20,0:1:99,http://punkoryan.com/phidgetSBC2/2012-10-25-17-50-41.jpg,
In Nest,2012-10-25 17:51:29,2012-10-25 17:58:01,0:6:392,http://punkoryan.com/phidgetSBC2/2012-10-25-17-51-29.jpg,
Out Nest,2012-10-25 17:57:21,2012-10-25 17:58:56,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-25-17-57-21.jpg,
In Nest,2012-10-25 17:58:08,2012-10-25 18:01:13,0:3:185,http://punkoryan.com/phidgetSBC2/2012-10-25-17-58-08.jpg,
Out Nest,2012-10-25 18:00:32,2012-10-25 18:14:02,0:13:810,http://punkoryan.com/phidgetSBC2/2012-10-25-18-00-32.jpg,
In Nest,2012-10-25 18:13:11,2012-10-25 18:19:43,0:6:392,http://punkoryan.com/phidgetSBC2/2012-10-25-18-13-11.jpg,
Out Nest,2012-10-25 18:19:03,2012-10-25 18:21:58,0:2:175,http://punkoryan.com/phidgetSBC2/2012-10-25-18-19-03.jpg,
In Nest,2012-10-25 18:21:09,2012-10-25 18:23:26,0:2:137,http://punkoryan.com/phidgetSBC2/2012-10-25-18-21-09.jpg,
Out Nest,2012-10-25 18:22:46,2012-10-25 18:24:23,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-25-18-22-46.jpg,
In Nest,2012-10-25 18:23:33,2012-10-25 18:25:09,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-25-18-23-33.jpg,
Out Nest,2012-10-25 18:24:29,2012-10-25 18:28:29,0:4:240,http://punkoryan.com/phidgetSBC2/2012-10-25-18-24-29.jpg,
In Nest,2012-10-25 18:27:41,2012-10-25 18:30:58,0:3:197,http://punkoryan.com/phidgetSBC2/2012-10-25-18-27-41.jpg,
Out Nest,2012-10-25 18:30:17,2012-10-25 18:33:30,0:3:193,http://punkoryan.com/phidgetSBC2/2012-10-25-18-30-17.jpg,
In Nest,2012-10-25 18:32:42,2012-10-25 18:34:17,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-25-18-32-42.jpg,
Out Nest,2012-10-25 18:33:36,2012-10-25 18:35:13,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-25-18-33-36.jpg,
In Nest,2012-10-25 18:34:24,2012-10-25 18:36:06,0:1:102,http://punkoryan.com/phidgetSBC2/2012-10-25-18-34-24.jpg,
Out Nest,2012-10-25 18:35:25,2012-10-25 18:37:38,0:2:133,http://punkoryan.com/phidgetSBC2/2012-10-25-18-35-25.jpg,
In Nest,2012-10-25 18:36:49,2012-10-25 18:42:56,0:6:367,http://punkoryan.com/phidgetSBC2/2012-10-25-18-36-49.jpg,
Out Nest,2012-10-25 18:42:15,2012-10-25 18:43:52,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-25-18-42-15.jpg,
In Nest,2012-10-25 18:43:03,2012-10-25 18:47:13,0:4:250,http://punkoryan.com/phidgetSBC2/2012-10-25-18-43-03.jpg,
Out Nest,2012-10-25 18:46:35,2012-10-25 18:48:09,0:1:94,http://punkoryan.com/phidgetSBC2/2012-10-25-18-46-35.jpg,
In Nest,2012-10-25 18:47:21,2012-10-25 19:01:22,0:14:841,http://punkoryan.com/phidgetSBC2/2012-10-25-18-47-21.jpg,
Out Nest,2012-10-25 19:00:42,2012-10-25 19:02:17,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-25-19-00-42.jpg,
In Nest,2012-10-25 19:01:29,2012-10-25 19:13:42,0:12:733,http://punkoryan.com/phidgetSBC2/2012-10-25-19-01-29.jpg,
Out Nest,2012-10-25 19:13:02,2012-10-25 19:14:38,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-25-19-13-02.jpg,
In Nest,2012-10-25 19:13:49,2012-10-25 19:34:10,0:20:1221,http://punkoryan.com/phidgetSBC2/2012-10-25-19-13-49.jpg,
Out Nest,2012-10-25 19:33:29,2012-10-25 19:35:06,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-25-19-33-29.jpg,
In Nest,2012-10-25 19:34:17,2012-10-25 19:37:34,0:3:197,http://punkoryan.com/phidgetSBC2/2012-10-25-19-34-17.jpg,
Out Nest,2012-10-25 19:36:54,2012-10-25 19:38:30,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-25-19-36-54.jpg,
In Nest,2012-10-25 19:37:41,2012-10-25 19:47:30,0:9:589,http://punkoryan.com/phidgetSBC2/2012-10-25-19-37-41.jpg,
Out Nest,2012-10-25 19:46:50,2012-10-25 19:48:27,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-25-19-46-50.jpg,
In Nest,2012-10-25 19:47:37,2012-10-25 19:49:43,0:2:126,http://punkoryan.com/phidgetSBC2/2012-10-25-19-47-37.jpg,
Out Nest,2012-10-25 19:49:03,2012-10-25 19:50:39,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-25-19-49-03.jpg,
In Nest,2012-10-25 19:49:50,2012-10-25 19:51:37,0:1:107,http://punkoryan.com/phidgetSBC2/2012-10-25-19-49-50.jpg,
Out Nest,2012-10-25 19:50:57,2012-10-25 19:52:34,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-25-19-50-57.jpg,
In Nest,2012-10-25 19:51:44,2012-10-25 19:53:20,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-25-19-51-44.jpg,
Out Nest,2012-10-25 19:52:40,2012-10-25 20:08:39,0:15:959,http://punkoryan.com/phidgetSBC2/2012-10-25-19-52-40.jpg,
In Nest,2012-10-25 20:07:48,2012-10-25 20:11:19,0:3:211,http://punkoryan.com/phidgetSBC2/2012-10-25-20-07-48.jpg,
Out Nest,2012-10-25 20:10:39,2012-10-25 20:12:15,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-25-20-10-39.jpg,
In Nest,2012-10-25 20:11:26,2012-10-25 20:14:39,0:3:193,http://punkoryan.com/phidgetSBC2/2012-10-25-20-11-26.jpg,
Out Nest,2012-10-25 20:13:58,2012-10-25 20:16:29,0:2:151,http://punkoryan.com/phidgetSBC2/2012-10-25-20-13-58.jpg,
In Nest,2012-10-25 20:15:41,2012-10-25 20:17:15,0:1:94,http://punkoryan.com/phidgetSBC2/2012-10-25-20-15-41.jpg,
Out Nest,2012-10-25 20:16:36,2012-10-25 20:19:58,0:3:202,http://punkoryan.com/phidgetSBC2/2012-10-25-20-16-36.jpg,
In Nest,2012-10-25 20:19:05,2012-10-25 20:20:45,0:1:100,http://punkoryan.com/phidgetSBC2/2012-10-25-20-19-05.jpg,
Out Nest,2012-10-25 20:20:04,2012-10-25 20:22:04,0:2:120,http://punkoryan.com/phidgetSBC2/2012-10-25-20-20-04.jpg,
In Nest,2012-10-25 20:21:04,2012-10-25 20:23:51,0:2:167,http://punkoryan.com/phidgetSBC2/2012-10-25-20-21-04.jpg,
Out Nest,2012-10-25 20:23:10,2012-10-25 20:28:18,0:5:308,http://punkoryan.com/phidgetSBC2/2012-10-25-20-23-10.jpg,
In Nest,2012-10-25 20:27:29,2012-10-25 20:29:04,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-25-20-27-29.jpg,
Out Nest,2012-10-25 20:28:24,2012-10-25 20:31:43,0:3:199,http://punkoryan.com/phidgetSBC2/2012-10-25-20-28-24.jpg,
In Nest,2012-10-25 20:30:53,2012-10-25 20:33:11,0:2:138,http://punkoryan.com/phidgetSBC2/2012-10-25-20-30-53.jpg,
Out Nest,2012-10-25 20:32:31,2012-10-25 21:42:23,1:69:4192,http://punkoryan.com/phidgetSBC2/2012-10-25-20-32-31.jpg,
In Nest,2012-10-25 21:41:33,2012-10-25 21:43:14,0:1:101,http://punkoryan.com/phidgetSBC2/2012-10-25-21-41-33.jpg,
Out Nest,2012-10-25 21:42:35,2012-10-25 21:44:12,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-25-21-42-35.jpg,
In Nest,2012-10-25 21:43:22,2012-10-25 21:45:20,0:1:118,http://punkoryan.com/phidgetSBC2/2012-10-25-21-43-22.jpg,
Out Nest,2012-10-25 21:44:42,2012-10-25 21:49:27,0:4:285,http://punkoryan.com/phidgetSBC2/2012-10-25-21-44-42.jpg,
In Nest,2012-10-25 21:48:28,2012-10-25 21:55:02,0:6:394,http://punkoryan.com/phidgetSBC2/2012-10-25-21-48-28.jpg,
Out Nest,2012-10-25 21:54:22,2012-10-25 21:55:57,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-25-21-54-22.jpg,
In Nest,2012-10-25 21:55:09,2012-10-25 22:08:52,0:13:823,http://punkoryan.com/phidgetSBC2/2012-10-25-21-55-09.jpg,
Out Nest,2012-10-25 22:08:12,2012-10-25 22:09:49,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-25-22-08-12.jpg,
In Nest,2012-10-25 22:08:59,2012-10-25 22:11:24,0:2:145,http://punkoryan.com/phidgetSBC2/2012-10-25-22-08-59.jpg,
Out Nest,2012-10-25 22:10:43,2012-10-25 22:12:20,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-25-22-10-43.jpg,
In Nest,2012-10-25 22:11:31,2012-10-25 22:13:26,0:1:115,http://punkoryan.com/phidgetSBC2/2012-10-25-22-11-31.jpg,
Out Nest,2012-10-25 22:12:45,2012-10-25 22:14:24,0:1:99,http://punkoryan.com/phidgetSBC2/2012-10-25-22-12-45.jpg,
In Nest,2012-10-25 22:13:33,2012-10-25 22:17:55,0:4:262,http://punkoryan.com/phidgetSBC2/2012-10-25-22-13-33.jpg,
Out Nest,2012-10-25 22:17:13,2012-10-25 22:18:51,0:1:98,http://punkoryan.com/phidgetSBC2/2012-10-25-22-17-13.jpg,
In Nest,2012-10-25 22:18:02,2012-10-25 22:22:01,0:3:239,http://punkoryan.com/phidgetSBC2/2012-10-25-22-18-02.jpg,
Out Nest,2012-10-25 22:21:22,2012-10-25 22:30:25,0:9:543,http://punkoryan.com/phidgetSBC2/2012-10-25-22-21-22.jpg,
In Nest,2012-10-25 22:29:34,2012-10-25 22:31:12,0:1:98,http://punkoryan.com/phidgetSBC2/2012-10-25-22-29-34.jpg,
Out Nest,2012-10-25 22:30:31,2012-10-25 22:34:46,0:4:255,http://punkoryan.com/phidgetSBC2/2012-10-25-22-30-31.jpg,
In Nest,2012-10-25 22:33:56,2012-10-25 22:35:33,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-25-22-33-56.jpg,
Out Nest,2012-10-25 22:34:52,2012-10-25 22:53:15,0:18:1103,http://punkoryan.com/phidgetSBC2/2012-10-25-22-34-52.jpg,
In Nest,2012-10-25 22:52:26,2012-10-25 22:54:02,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-25-22-52-26.jpg,
Out Nest,2012-10-25 22:53:21,2012-10-25 23:02:54,0:9:573,http://punkoryan.com/phidgetSBC2/2012-10-25-22-53-21.jpg,
In Nest,2012-10-25 23:02:04,2012-10-25 23:03:41,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-25-23-02-04.jpg,
Out Nest,2012-10-25 23:03:00,2012-10-26 00:30:38,1:87:5258,http://punkoryan.com/phidgetSBC2/2012-10-25-23-03-00.jpg,
In Nest,2012-10-26 00:29:47,2012-10-26 00:32:08,0:2:141,http://punkoryan.com/phidgetSBC2/2012-10-26-00-29-47.jpg,
Out Nest,2012-10-26 00:31:26,2012-10-26 05:04:12,4:272:16366,http://punkoryan.com/phidgetSBC2/2012-10-26-00-31-26.jpg,
In Nest,2012-10-26 05:03:23,2012-10-26 05:04:59,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-26-05-03-23.jpg,
Out Nest,2012-10-26 05:04:18,2012-10-26 05:30:00,0:25:1542,http://punkoryan.com/phidgetSBC2/2012-10-26-05-04-18.jpg,
In Nest,2012-10-26 05:29:12,2012-10-26 05:31:36,0:2:144,http://punkoryan.com/phidgetSBC2/2012-10-26-05-29-12.jpg,
Out Nest,2012-10-26 05:30:55,2012-10-26 05:32:32,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-26-05-30-55.jpg,
In Nest,2012-10-26 05:31:43,2012-10-26 05:37:56,0:6:373,http://punkoryan.com/phidgetSBC2/2012-10-26-05-31-43.jpg,
Out Nest,2012-10-26 05:37:16,2012-10-26 05:39:28,0:2:132,http://punkoryan.com/phidgetSBC2/2012-10-26-05-37-16.jpg,
In Nest,2012-10-26 05:38:39,2012-10-26 05:40:15,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-26-05-38-39.jpg,
Out Nest,2012-10-26 05:39:34,2012-10-26 17:59:23,12:739:44389,http://punkoryan.com/phidgetSBC2/2012-10-26-05-39-34.jpg,
In Nest,2012-10-26 17:58:36,2012-10-26 18:00:08,0:1:92,http://punkoryan.com/phidgetSBC2/2012-10-26-17-58-36.jpg,
Out Nest,2012-10-26 17:59:29,2012-10-26 19:36:16,1:96:5807,http://punkoryan.com/phidgetSBC2/2012-10-26-17-59-29.jpg,
In Nest,2012-10-26 19:35:29,2012-10-26 19:37:15,0:1:106,http://punkoryan.com/phidgetSBC2/2012-10-26-19-35-29.jpg,
Out Nest,2012-10-26 19:36:34,2012-10-26 20:08:41,0:32:1927,http://punkoryan.com/phidgetSBC2/2012-10-26-19-36-34.jpg,
In Nest,2012-10-26 20:07:53,2012-10-26 20:10:26,0:2:153,http://punkoryan.com/phidgetSBC2/2012-10-26-20-07-53.jpg,
Out Nest,2012-10-26 20:09:47,2012-10-26 20:13:05,0:3:198,http://punkoryan.com/phidgetSBC2/2012-10-26-20-09-47.jpg,
In Nest,2012-10-26 20:12:16,2012-10-26 20:14:21,0:2:125,http://punkoryan.com/phidgetSBC2/2012-10-26-20-12-16.jpg,
Out Nest,2012-10-26 20:13:41,2012-10-26 20:15:31,0:1:110,http://punkoryan.com/phidgetSBC2/2012-10-26-20-13-41.jpg,
In Nest,2012-10-26 20:14:46,2012-10-26 20:19:25,0:4:279,http://punkoryan.com/phidgetSBC2/2012-10-26-20-14-46.jpg,
Out Nest,2012-10-26 20:18:44,2012-10-26 20:20:45,0:2:121,http://punkoryan.com/phidgetSBC2/2012-10-26-20-18-44.jpg,
In Nest,2012-10-26 20:19:56,2012-10-26 20:21:31,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-26-20-19-56.jpg,
Out Nest,2012-10-26 20:20:51,2012-10-26 20:22:29,0:1:98,http://punkoryan.com/phidgetSBC2/2012-10-26-20-20-51.jpg,
In Nest,2012-10-26 20:21:38,2012-10-26 20:50:15,0:28:1717,http://punkoryan.com/phidgetSBC2/2012-10-26-20-21-38.jpg,
Out Nest,2012-10-26 20:49:35,2012-10-26 20:51:11,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-26-20-49-35.jpg,
In Nest,2012-10-26 20:50:23,2012-10-26 20:51:59,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-26-20-50-23.jpg,
Out Nest,2012-10-26 20:51:18,2012-10-26 20:53:12,0:1:114,http://punkoryan.com/phidgetSBC2/2012-10-26-20-51-18.jpg,
In Nest,2012-10-26 20:52:24,2012-10-26 20:53:59,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-26-20-52-24.jpg,
Out Nest,2012-10-26 20:53:18,2012-10-26 20:54:55,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-26-20-53-18.jpg,
In Nest,2012-10-26 20:54:06,2012-10-26 20:55:42,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-26-20-54-06.jpg,
Out Nest,2012-10-26 20:55:01,2012-10-26 20:59:50,0:4:289,http://punkoryan.com/phidgetSBC2/2012-10-26-20-55-01.jpg,
In Nest,2012-10-26 20:59:02,2012-10-26 21:00:37,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-26-20-59-02.jpg,
Out Nest,2012-10-26 20:59:56,2012-10-26 21:03:21,0:3:205,http://punkoryan.com/phidgetSBC2/2012-10-26-20-59-56.jpg,
In Nest,2012-10-26 21:02:32,2012-10-26 21:04:32,0:2:120,http://punkoryan.com/phidgetSBC2/2012-10-26-21-02-32.jpg,
Out Nest,2012-10-26 21:03:51,2012-10-26 21:05:28,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-26-21-03-51.jpg,
In Nest,2012-10-26 21:04:39,2012-10-26 21:11:33,0:6:414,http://punkoryan.com/phidgetSBC2/2012-10-26-21-04-39.jpg,
Out Nest,2012-10-26 21:10:53,2012-10-26 21:12:29,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-26-21-10-53.jpg,
In Nest,2012-10-26 21:11:41,2012-10-26 21:27:37,0:15:956,http://punkoryan.com/phidgetSBC2/2012-10-26-21-11-41.jpg,
Out Nest,2012-10-26 21:26:57,2012-10-26 21:28:34,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-26-21-26-57.jpg,
In Nest,2012-10-26 21:27:44,2012-10-26 21:30:45,0:3:181,http://punkoryan.com/phidgetSBC2/2012-10-26-21-27-44.jpg,
Out Nest,2012-10-26 21:30:05,2012-10-26 21:31:43,0:1:98,http://punkoryan.com/phidgetSBC2/2012-10-26-21-30-05.jpg,
In Nest,2012-10-26 21:30:58,2012-10-26 21:32:28,0:1:90,http://punkoryan.com/phidgetSBC2/2012-10-26-21-30-58.jpg,
Out Nest,2012-10-26 21:31:49,2012-10-26 21:35:23,0:3:214,http://punkoryan.com/phidgetSBC2/2012-10-26-21-31-49.jpg,
In Nest,2012-10-26 21:34:36,2012-10-26 21:36:11,0:1:95,http://punkoryan.com/phidgetSBC2/2012-10-26-21-34-36.jpg,
Out Nest,2012-10-26 21:35:29,2012-10-26 21:41:44,0:6:375,http://punkoryan.com/phidgetSBC2/2012-10-26-21-35-29.jpg,
